A1,14327.750556792873
A6,22695.385026737968
A4,20255.450398262128
A3,17408.522032141005
Q3,22999.26182074806
Q5,30445.688711516534
A5,23577.114512471657
S4,31248.083333333332
Q2,22516.975669099756
A7,28865.516393442624
TT,21784.45238095238
Q7,44788.319899244336
RS6,55963.8717948718
RS3,34050.51515151515
A8,34981.84745762712
Q8,60115.014492753624
RS4,50151.6129032258
RS5,51265.206896551725
R8,97652.21428571429
SQ5,31415.8125
S8,33807.75
SQ7,49269.0
S3,20379.444444444445
S5,15980.0
A2,2490.0
RS7,33490.0
